,p(d),P(d),r(d),L(d),1/L(d),H(d),h(d),r_
0.96,0.11295618582621918,2.103057980980571,1.2438498364285826,5.613122772911013,0.17815395109937912,8.852990145563872,1.5771951734760714,1
0.965,0.11267414805576136,2.097806902611018,1.2355850839707565,5.650668605112558,0.17697020828565838,8.875150309591065,1.5706371988548562,1
0.97,0.11239281449909568,2.0925689355414354,1.22737524660894,5.6884655790711465,0.1757943308436591,8.897365943336583,1.5641064922800163,1
0.975,0.11211218339788646,2.0873440470345113,1.2192199594601212,5.726515374658514,0.174626266511968,8.91963718564821,1.5576029403710645,1
0.98,0.11183225299818844,2.082132204434676,1.2111188600657512,5.764819682982949,0.17346596337642256,8.941964175721282,1.5511264302189502,1
0.985,0.11155302155043569,2.076933375167896,1.2030715883756347,5.8033802064644595,0.17231336986780346,8.964347053099562,1.5446768493840988,1
0.99,0.11127448730943075,2.0717475267414716,1.1950777867319269,5.842198658910437,0.17116843475954288,8.986785957676103,1.538254085894458,1
0.995,0.11099664853433373,2.0665746267438334,1.1871370998532393,5.8812767655918226,0.17003110716544756,9.009281029694133,1.531858028243557,1
1.0,0.11071950348865135,2.061414642844339,1.1792491748188478,5.920616263319793,0.16890133653743714,9.031832409747928,1.5254885653885666,1
1.0050000000000001,0.1104430504402262,2.0562675427930737,1.171413661053008,5.960218900522944,0.16777907266329783,9.054440238783682,1.5191455867483752,1
1.01,0.11016728766122583,2.051133294420644,1.163630210309374,6.0000864373250025,0.16666426566445042,9.077104658100403,1.5128289822016658,1
1.0150000000000001,0.10989221342813194,2.046011865637981,1.1558984766555203,6.040220645623057,0.16555686599373368,9.099825809350786,1.5065386420850073,1
1.02,0.1096178260217297,2.0409032244361387,1.1482181164575678,6.080623309166305,0.1644568244332022,9.1226038345421,1.5002744571909472,1
1.025,0.10934412372709695,2.035807338886093,1.1405887883649093,6.121296223635329,0.16336409209193894,9.14543887603707,1.4940363187661188,1
